CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau;Jaccard;Ground,truth,times;Predicted,times;RMSE;MAE
4054;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,454545455;0,454545455;0,555555556;4418;10167,4183;;5749,418303
4055;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;410366;78657,87678;;331708,1232
4056;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1743;9276,619875;;7533,619875
4057;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;70100;77292,20787;;7192,207872
4058;2;¨¤ª¡§¦¬;ª¡§¦¬;0,714285714;0,714285714;0,714285714;3544;9514,769927;;5970,769927
4059;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1604;9912,396313;;8308,396313
4060;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5404;9902,487008;;4498,487008
4063;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2379;9866,71363;;7487,71363
4064;2;¤ª¨¤ª¨¤ª¨¤ª¨¤¨¤ª¡§¦¨¢¤ª¡§¦¬;¢¤ª¡§¦¬;0,259259259;0,259259259;0,875;665971;18508,96662;;647462,0334
4065;2;ª¡§¦¬;ª¡§¦¬;1;1;1;25330;10028,23519;;15301,76481
4066;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;132;9938,881184;;9806,881184
4067;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7925;9785,666515;;1860,666515
4068;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4213;9735,894958;;5522,894958
4069;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5101;9664,456787;;4563,456787
4070;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5121;9955,577427;;4834,577427
4071;2;ª¡§¦¬;ª¡§¦¬;1;1;1;9390;9932,162566;;542,1625663
4072;2;ª¡§¦¬;ª¡§¦¬;1;1;1;22577;9760,35746;;12816,64254
4074;2;ª¡¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,625;6707;9049,4229;;2342,4229
4075;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;44462;224164,4675;;179702,4675
4076;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7690;9858,023066;;2168,023066
4077;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5979;9816,477381;;3837,477381
4078;2;ª¡§¦¬;ª¡§¦¬;1;1;1;55236;173361,8967;;118125,8967
4081;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4728;9355,817776;;4627,817776
4082;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;3108;9528,598215;;6420,598215
4083;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47595;183728,2108;;136133,2108
4084;2;£;ª¡§¦¬;0;0;0;286;9404,757169;;9118,757169
4085;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2718;9378,934209;;6660,934209
4086;2;«¨¢¤«¨¢¤ª¡§¦¬;ª¡§¦¬;0,384615385;0,384615385;0,555555556;62516;9367,676536;;53148,32346
4087;2;ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,555555556;0,555555556;0,625;65366;177605,6961;;112239,6961
4088;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46586;176031,6904;;129445,6904
4089;2;ª¡§¦¬;ª¡§¦¬;1;1;1;50396;143886,2537;;93490,25371
4090;2;ª¨¢¤ª¨¢¤ª¡§¦¥;ª¡§¦¬;0,307692308;0,307692308;0,444444444;55931;9213,107576;;46717,89242
4091;2;ª¡§¦¬;ª¡§¦¬;1;1;1;12023;9142,880528;;2880,119472
4092;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;905;9116,466637;;8211,466637
4093;2;ª¡«¨¢¤ª¡«¨¢¤ª¡¨¢¤ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,192307692;0,192307692;0,555555556;145160;168300,5278;;23140,52777
4094;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5927;9838,53142;;3911,53142
4095;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3678;9775,810172;;6097,810172
4096;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7883;9636,292715;;1753,292715
4097;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;71753;18380,99232;;53372,00768
4098;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;1568;9675,387252;;8107,387252
4099;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1950;9644,869252;;7694,869252
4100;2;ª¡§¦¬;ª¡§¦¬;1;1;1;52951;146926,1186;;93975,11857
4101;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3239;9467,219409;;6228,219409
4102;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2119;9420,473485;;7301,473485
4103;2;ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,555555556;0,555555556;0,625;46578;228292,4974;;181714,4974
4104;2;ª¡§¦¬;ª¡§¦¬;1;1;1;40949;168014,1903;;127065,1903
4105;2;ª«¨¢¤ª«©£;ª¡§¦¬;0,111111111;0,111111111;0,090909091;1900;9310,819494;;7410,819494
4106;2;ª«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,333333333;0,333333333;0,555555556;8198;9187,757287;;989,7572871
4107;2;¢¤«¨¢¤ª«¨£;¢¤ª¡§¦¬;0,2;0,2;0,3;534706;135088,8772;;399617,1228
4108;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46205;175541,623;;129336,623
4109;2;ª¡§¦¬;ª¡§¦¬;1;1;1;54485;163964,8914;;109479,8914
4110;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2955;9744,107046;;6789,107046
4111;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5621;7970,965444;;2349,965444
4113;2;ª¡§¦¬;ª¡§¦¬;1;1;1;13546;9165,194784;;4380,805216
4114;2;ª¡«¨¢¤ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,294117647;0,294117647;0,555555556;211378;218011,1629;;6633,162942
4115;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5043;9671,603941;;4628,603941
4116;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11555;9668,198139;;1886,801861
4117;2;ª¡§¦¬;ª¡§¦¬;1;1;1;44827;168865,2929;;124038,2929
4118;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3191;9664,248564;;6473,248564
4119;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11406;9618,654151;;1787,345849
4120;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3433;9478,617831;;6045,617831
4121;2;ª¡§¦¬;ª¡§¦¬;1;1;1;64240;9317,296395;;54922,70361
4122;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4928;9397,641091;;4469,641091
4123;2;ª«¨¢¤ª¡§¦¥;ª¡§¦¬;0,4;0,4;0,4;5199;9384,025258;;4185,025258
4124;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;3538;22031,13049;;18493,13049
4125;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6567;9368,172425;;2801,172425
4126;2;ª¡§¦¬;ª¡§¦¬;1;1;1;56995;92504,75294;;35509,75294
4127;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7360;9324,698446;;1964,698446
4128;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2071;9243,273823;;7172,273823
4129;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;106961;52994,09216;;53966,90784
4130;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6030;8995,026074;;2965,026074
4131;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;25193;10040,61535;;15152,38465
4132;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4801;9849,680023;;5048,680023
4133;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4050;8763,03805;;4713,03805
4134;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2748;9771,532786;;7023,532786
4135;2;ª¡§¦¬;ª¡§¦¬;1;1;1;132337;213100,9668;;80763,96682
4136;2;ª¡§¦¬;ª¡§¦¬;1;1;1;45393;209594,2224;;164201,2224
4137;2;ª¡§¦¬;ª¡§¦¬;1;1;1;55459;190806,3539;;135347,3539
4138;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2441;9668,871415;;7227,871415
4139;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;62168;18275,09758;;43892,90242
4140;2;ª¡§¦¬;ª¡§¦¬;1;1;1;82731;194068,8168;;111337,8168
4141;2;ª£;ª¡§¦¬;0,2;0,2;0,166666667;5872;87376,89962;;81504,89962
4142;2;ª¡«¨¢¤ª¡«¨¢¨¢¨¢¤ª¡§¦¬;ª¡§¦¬;0,238095238;0,238095238;0,555555556;214153;232531,32;;18378,32
4143;2;ª¡§¦¬;ª¡§¦¬;1;1;1;51768;191082,3264;;139314,3264
4144;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46438;174663,7345;;128225,7345
4145;2;ª¡§¦¬;ª¡§¦¬;1;1;1;41800;176209,8197;;134409,8197
4146;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;777;9255,177202;;8478,177202
4147;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;751;9241,791961;;8490,791961
4148;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2758;9204,369975;;6446,369975
4149;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;2688;9179,551366;;6491,551366
4150;2;ª¡§¦¬;ª¡§¦¬;1;1;1;40865;171584,0945;;130719,0945
4151;2;ª¡«¨¢¤ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,333333333;0,333333333;0,555555556;48248;96643,72071;;48395,72071
4152;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;1864;9657,369366;;7793,369366
4153;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4159;9670,731148;;5511,731148
4154;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2868;9645,657522;;6777,657522
4155;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4149;9646,818102;;5497,818102
4156;2;ª¡§¦¬;ª¡§¦¬;1;1;1;12611;9625,685224;;2985,314776
4158;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4355;9523,272704;;5168,272704
4162;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;1165;8901,717539;;7736,717539
4163;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5742;9777,432662;;4035,432662
4164;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5079;9569,355387;;4490,355387
4165;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4137;9480,064625;;5343,064625
4166;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3979;9427,328499;;5448,328499
4174;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6118;9008,058957;;2890,058957
4175;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4953;8764,04603;;3811,04603
4177;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47901;226513,9651;;178612,9651
4178;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1623;9641,602748;;8018,602748
4179;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4567;9621,588611;;5054,588611
4180;2;¢¤ª¡§¦¥;¢¤ª¡§¦¬;0,857142857;0,857142857;0,75;85547;150222,8932;;64675,8932
4181;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11179;9600,318853;;1578,681147
4182;2;ª¡§¦¬;ª¡§¦¬;1;1;1;44437;170903,0103;;126466,0103
4183;2;ª¡§¦¬;ª¡§¦¬;1;1;1;43466;82953,88025;;39487,88025
4184;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2498;9560,679938;;7062,679938
4185;2;ª¡¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,625;8268;9485,444913;;1217,444913
4186;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;8130;9485,712385;;1355,712385
4187;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4085;9471,04879;;5386,04879
4189;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46414;184540,5976;;138126,5976
4190;2;ª¡§¦¬;ª¡§¦¬;1;1;1;45039;171341,5573;;126302,5573
4191;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3242;9383,788015;;6141,788015
4192;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1660;9319,922149;;7659,922149
4193;2;ª«¨¢¤ª«¨¢¤ª¡§¦¥;ª¡§¦¬;0,266666667;0,266666667;0,4;2843;9054,147202;;6211,147202
4194;2;ª¡£;ª¡§¦¬;0,4;0,4;0,333333333;80284;63226,99011;;17057,00989
4195;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;39393;164179,7576;;124786,7576
4196;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4442;8867,881282;;4425,881282
4197;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2774;9758,620581;;6984,620581
4198;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5753;9723,606936;;3970,606936
4199;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47923;167263,894;;119340,894
42;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;10222;9853,174338;;368,8256617
4200;2;ª¡§¦¬;ª¡§¦¬;1;1;1;118238;112421,466;;5816,534046
4201;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47438;169438,5467;;122000,5467
4202;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1626;9441,197536;;7815,197536
4203;2;ª«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,333333333;0,333333333;0,555555556;48703;107403,4179;;58700,41789
4204;2;ª¢¨¤ª¡§¦¬;ª¡§¦¬;0,555555556;0,555555556;0,625;1688;8890,506783;;7202,506783
4205;2;ª¡§¦¬;ª¡§¦¬;1;1;1;12464;10417,78794;;2046,212062
4206;2;ª¡§¦¬;ª¡§¦¬;1;1;1;10090;9443,124138;;646,8758624
4207;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11617;9416,547006;;2200,452994
4208;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11979;9370,006765;;2608,993235
4209;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;4394;9333,292516;;4939,292516
4210;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2855;9182,257169;;6327,257169
4211;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4943;8855,778991;;3912,778991
4212;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4700;8877,585025;;4177,585025
4214;2;ª¡§¦¬;ª¡§¦¬;1;1;1;8562;8907,562639;;345,5626386
4229;2;ª¡§¦¬;ª¡§¦¬;1;1;1;42055;164135,1607;;122080,1607
4230;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46307;160526,7656;;114219,7656
4231;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4240;8756,052926;;4516,052926
4232;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2848;8491,007726;;5643,007726
4233;2;ª«¨¢¤ª«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,25;0,25;0,555555556;68158;9473,108402;;58684,8916
4234;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,454545455;0,454545455;0,555555556;52090;105646,5717;;53556,57169
4235;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,454545455;0,454545455;0,555555556;2858;8708,191284;;5850,191284
4236;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2883;8669,305815;;5786,305815
4237;2;ª¡§¦¬;ª¡§¦¬;1;1;1;44912;237481,2602;;192569,2602
4238;2;ª¡§¦¬;ª¡§¦¬;1;1;1;69494;5554,481629;;63939,51837
4239;2;ª¡§¦¬;ª¡§¦¬;1;1;1;9046;8501,635531;;544,3644688
4240;2;«¨¢¤ª¡§¦¬;ª¡§¦¬;0,555555556;0,555555556;0,555555556;213056;7798,448851;;205257,5511
4241;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;6111;7777,124074;;1666,124074
4242;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6745;10401,46666;;3656,466665
4243;2;ª¡§¦¬;ª¡§¦¬;1;1;1;43824;169649,536;;125825,536
4244;2;ª¡§¦¬;ª¡§¦¬;1;1;1;51941;211915,4308;;159974,4308
4245;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2606;8854,853236;;6248,853236
4246;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;64004;21217,0244;;42786,9756
4247;2;ª¡§¦¬;ª¡§¦¬;1;1;1;50803;133070,2876;;82267,28764
4248;2;ª¡§¦¬;ª¡§¦¬;1;1;1;962;8539,26441;;7577,26441
4249;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2574;8514,749551;;5940,749551
4252;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5552;7777,428669;;2225,428669
4253;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1411;7788,90061;;6377,90061
4254;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;5086;7649,886538;;2563,886538
4255;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7846;8888,663858;;1042,663858
4256;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;50942;170194,6902;;119252,6902
4257;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;7945;8748,999121;;803,9991213
4258;2;ª¡§¦¬;ª¡§¦¬;1;1;1;43057;52569,65877;;9512,658774
4259;2;¨¢¤ª¡§¦¬;ª¡§¦¬;0,625;0,625;0,625;3588;8393,333897;;4805,333897
4260;2;ª¡§¦¬;ª¡§¦¬;1;1;1;54114;6169,528333;;47944,47167
4261;2;ª£;ª¡§¦¬;0,2;0,2;0,166666667;4776;7768,2768;;2992,2768
4262;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4063;8498,141579;;4435,141579
4263;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4213;8622,349976;;4409,349976
4264;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3930;6987,292339;;3057,292339
4265;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47478;8386,005364;;39091,99464
4266;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5737;8171,541515;;2434,541515
4268;2;ª¡§¦¬;ª¡§¦¬;1;1;1;56105;233677,804;;177572,804
4269;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;1593;7949,719507;;6356,719507
4270;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;15121;10413,86811;;4707,131891
4271;2;ª«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,333333333;0,333333333;0,555555556;38145;7560,557686;;30584,44231
4272;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,454545455;0,454545455;0,555555556;10386;7448,755208;;2937,244792
4273;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3661;12569,1586;;8908,158596
4274;2;ª¡§¦¬;ª¡§¦¬;1;1;1;23165;7408,48026;;15756,51974
4275;2;ª¡§¦¬;ª¡§¦¬;1;1;1;9116;8515,855838;;600,1441621
4276;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3812;8502,595386;;4690,595386
4278;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1984;7804,616683;;5820,616683
4281;2;ª¡§¦¬;ª¡§¦¬;1;1;1;13344;7550,791791;;5793,208209
4282;2;ª¡§¦¬;ª¡§¦¬;1;1;1;54068;8630,557227;;45437,44277
4283;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3538;8222,763373;;4684,763373
4285;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;6192;7789,518989;;1597,518989
4286;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4224;8708,702166;;4484,702166
4287;2;ª¡§¦¬;ª¡§¦¬;1;1;1;60407;8699,989958;;51707,01004
4288;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1365;8556,609625;;7191,609625
4290;2;ª¡§¦¬;ª¡§¦¬;1;1;1;39465;8181,107531;;31283,89247
4291;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6062;7738,901967;;1676,901967
4292;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46280;7775,721899;;38504,2781
4294;2;ª¡§¦¬;ª¡§¦¬;1;1;1;10607;7193,397668;;3413,602332
4295;2;ª¡§¦¬;ª¡§¦¬;1;1;1;43198;223595,66;;180397,66
4296;2;ª¡§¦¬;ª¡§¦¬;1;1;1;47572;106867,0606;;59295,06062
4297;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;6376;8193,431104;;1817,431104
4298;2;ª¡«¨¢¤ª«¨¢¤ª«¨¢¤ª«©¨¢¤ª¡§¦¬;ª¡§¦¬;0,185185185;0,185185185;0,5;60840;151415,6595;;90575,65954
4299;2;ª¡§¦¬;ª¡§¦¬;1;1;1;42725;7765,663017;;34959,33698
4301;2;ª«¨¢¤ª«¨¢¤¨¢¤ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,227272727;0,227272727;0,555555556;40608;199609,1749;;159001,1749
4302;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2468;7343,548252;;4875,548252
4303;2;ª¡§¦¬;ª¡§¦¬;1;1;1;44325;8419,307039;;35905,69296
4304;2;ª¡§¦¬;ª¡§¦¬;1;1;1;10693;7359,200722;;3333,799278
4305;2;ª¡§¦¬;ª¡§¦¬;1;1;1;8670;12564,7852;;3894,7852
4357;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3011;10062,13094;;7051,130936
4358;2;ª¡§¦¥;ª¡§¦¬;0,8;0,8;0,666666667;5766;10021,11294;;4255,112941
436;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5457;10381,64938;;4924,649384
4360;2;«¨£;ª¡§¦¬;0;0;0;827;10077,92827;;9250,928267
4361;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1620;10059,56093;;8439,560925
4362;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3576;10249,78549;;6673,785489
4363;2;¨¢¤ª¡§¦¬;ª¡§¦¬;0,625;0,625;0,625;3295;7215,343726;;3920,343726
4364;2;ª¡§¦¬;ª¡§¦¬;1;1;1;193670;7178,53105;;186491,469
4365;2;ª¡§£;ª¡§¦¬;0,6;0,6;0,5;742;12546,6632;;11804,6632
4366;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;26000;10000,29747;;15999,70253
4367;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2882;10059,65548;;7177,655484
4368;2;ª¡£;ª¡§¦¬;0,4;0,4;0,333333333;79;10208,04041;;10129,04041
437;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1937;9484,792676;;7547,792676
438;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2095;10419,74912;;8324,749121
439;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2658;10411,18335;;7753,183346
44;2;ª¡§¦¬;ª¡§¦¬;1;1;1;28140;10277,80615;;17862,19385
4426;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4594;10251,85574;;5657,855742
4427;2;ª¡§¦¬;ª¡§¦¬;1;1;1;52320;10300,90203;;42019,09797
4428;2;ª¡§¦¬;ª¡§¦¬;1;1;1;6125;10295,25294;;4170,252938
4429;2;ª¡§¦¬;ª¡§¦¬;1;1;1;15581;10298,30009;;5282,699906
4430;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2592;10289,64387;;7697,643872
4437;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2739;10400,46219;;7661,462191
4438;2;ª¡§«¨¢¤ª¨¢¤ª¡§¦¬;ª¡§¦¬;0,3125;0,3125;0,555555556;42605;10412,79302;;32192,20698
