CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau_Levenshtein;Jaccard;Ground truth times;Predicted times;MAE;MAE_days
1-672807011;2;¤;¤;1,0;1,0;1,0;51;559471,7863410742;559420,7863410742;6,474777619688358
1-672860819;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;211937;38136674,242136605;37924737,242136605;438,9437180802848
1-672862385;2;¥¢¥¤;¥¡¥¤;0,75;0,75;0,5;7879252;53706294,812317364;45827042,812317364;530,405588105525
1-672975080;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;72811;44683509,88290729;44610698,88290729;516,3275333669825
1-673197539;2;¤;¤;1,0;1,0;1,0;183882;12337469,940885734;12153587,940885734;140,66652709358488
1-673224718;2;¥§¤;¥¡¥¤;0,5;0,5;0,5;7785917;56080891,5736309;48294974,5736309;558,969613120728
1-673359575;2;§¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;3886517;8128797,2392020365;4242280,2392020365;49,100465731505054
1-673429845;2;¢¥¤;¥¡¥¤;0,5;0,5;0,5;67897;47773576,36921519;47705679,36921519;552,149066773324
1-673487817;2;¤;¤;1,0;1,0;1,0;34021;9766656,839032236;9732635,839032236;112,64624813694718
1-675046360;2;¤;¤;1,0;1,0;1,0;1391771;10032530,96035833;8640759,96035833;100,00879583748066
1-675150191;2;¥§¥§¤;¥§¤;0,6;0,6;1,0;6211946;20466765,33272055;14254819,332720552;164,98633486945084
1-675150672;2;¥¡¥¤;¥¡¥¤;1,0;1,0;1,0;6061227;52194715,647245824;46133488,647245824;533,9524148986785
1-675685459;2;¤¥¢¥¤;¤;0,19999999999999996;0,19999999999999996;0,33333333333333326;2258444;8021007,316074398;5762563,316074398;66,69633467678702
1-675758382;2;¤;¤;1,0;1,0;1,0;1391659;10017779,752938753;8626120,752938753;99,83936056642075
1-675797761;2;¤¥¢¥¤;¤;0,19999999999999996;0,19999999999999996;0,33333333333333326;2157923;8752114,769993272;6594191,769993272;76,32166400455175
1-675826063;2;¥¡¢¥¡¡¢¥§¡¥¤;¥¡¥¡¥¢¥¡¥¤;0,75;0,75;0,8;7339969;113253998,3772414;105914029,3772414;1225,8568214958495
1-675828021;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;3023432;39524782,74961467;36501350,74961467;422,4693373797994
1-677811170;2;¥¡¢¥¡¥¡¥¤;¥¡¥¤;0,4444444444444444;0,4444444444444444;0,75;2444735;51436444,33516378;48991709,33516378;567,0336728606919
1-678370811;2;¤;¤;1,0;1,0;1,0;84509;557861,3791230317;473352,37912303174;5,478615499109163
1-678626550;2;¤;¤;1,0;1,0;1,0;199;2299951,073919569;2299752,073919569;26,61750085555057
1-678755621;2;¥§¢¥¡¥¤;¥¡¥¤;0,5714285714285714;0,5714285714285714;0,6;8906656;51552486,53701629;42645830,53701629;493,58600158583664
1-681864502;2;¥¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;8808258;18575998,303739704;9767740,303739704;113,05254981180214
1-681929091;2;¥¡¥¤;¥¡¥¤;1,0;1,0;1,0;5891545;43935837,99506459;38044292,99506459;440,3274652206549
1-682059903;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;4025682;45913397,56830596;41887715,56830596;484,811522781319
1-682262974;2;¥¢¥¢¥¢¥¢¥¢¥¢¥¢¥¥¢¢¥¥¥¥¢¢¥¤;¥¡¥¤;0,11538461538461542;0,11538461538461542;0,5;6891707;45583746,78133075;38692039,78133075;447,8245345061429
1-682342767;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;3012998;46177420,18144765;43164422,18144765;499,5882196926811
1-682357851;2;¤;¤;1,0;1,0;1,0;23;1895065,3745551286;1895042,3745551286;21,933360816610286
1-682409211;2;¤;¤;1,0;1,0;1,0;2699231;7736119,960271518;5036888,960271518;58,29732592906849
1-682409241;2;¤;¤;1,0;1,0;1,0;4978805;7683801,66406022;2704996,66406022;31,30783175995625
1-683298971;2;§¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;6651399;22609386,55385702;15957987,553857021;184,6989300214933
1-683752875;2;¥§¤;¥¡¥¤;0,5;0,5;0,5;94976;56286970,29336954;56191994,29336954;650,3703043214067
1-685134878;2;¢¢¡¢¡¢¥¤;¡¥¤;0,375;0,375;0,75;5636937;43337199,111343205;37700262,111343205;436,3456262886945
1-685300128;2;¤;¤;1,0;1,0;1,0;3614312;13173389,690323297;9559077,690323297;110,63747326763075
1-686405886;2;¤;¤;1,0;1,0;1,0;1139499;515405,15536617936;624093,8446338207;7,223308386965518
1-686477306;2;¤;¤;1,0;1,0;1,0;91;2539614,0233182637;2539523,0233182637;29,392627584702126
1-686531969;2;¢¥¤¥¤¥¤;¤;0,1428571428571429;0,1428571428571429;0,33333333333333326;3133;1666676,379961966;1663543,379961966;19,25397430511535
1-686557724;2;¥¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;7335696;19682010,27578655;12346314,275786549;142,89715596975174
1-686642441;2;¥¡¡¥¤;¡¥¤;0,6;0,6;1,0;5263002;46393646,58319515;41130644,58319515;476,0491271203142
1-686642543;2;¥¢¢¥£¥¤;¡¥¤;0,2857142857142857;0,2857142857142857;0,4;4210898;46284214,53549588;42073316,53549588;486,9596821237949
1-686945977;2;§¤;¤;0,5;0,5;0,5;6023413;8184703,215950901;2161290,2159509007;25,014933054987278
1-686966285;2;¤;¤;1,0;1,0;1,0;2343678;8304088,561839215;5960410,561839215;68,98623335462055
1-687129760;2;¤;¤;1,0;1,0;1,0;100;1319308,5369367457;1319208,5369367457;15,268617325656779
1-687589251;2;¢¥¢¥¢¥¢¥¢¥¤;¥¡¥¤;0,2727272727272727;0,2727272727272727;0,5;4477880;45417677,11054044;40939797,11054044;473,8402443349588
1-687649700;2;¤;¥§¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;2889;19618666,61029534;19615777,61029534;227,034463082122
1-687668119;2;¥¡§¤;¥¡¥¤;0,75;0,75;0,75;1619254;45863054,88899533;44243800,88899533;512,0810288078163
1-688280019;2;¢¥§¥¤;¢¥¡¥¤;0,8;0,8;0,6;1312533;34127369,770000026;32814836,770000026;379,8013515046299
1-688342754;2;§¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;3702871;25106572,2057947;21403701,2057947;247,72802321521644
1-688380091;2;¢¥§¥§¡¤;¤;0,1428571428571429;0,1428571428571429;0,19999999999999996;3128595;17492216,945070338;14363621,945070338;166,24562436424003
1-688509388;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;510200;31877248,253639776;31367048,253639776;363,04453997268257
1-688515611;2;¡¥¤;¥§¤;0,33333333333333337;0,33333333333333337;0,5;6136986;25443231,116889745;19306245,116889745;223,45191107511278
1-688564824;2;¢¥¡¥¤;¢¥¡¥¤;1,0;1,0;1,0;2766731;35060764,3088801;32294033,3088801;373,7735336675937
1-688725917;2;¥¥¢¥¤;¥¡¥¡¥¢¥¡¥¤;0,5;0,5;0,75;3124367;119330108,92073594;116205741,92073594;1344,9738648233326
1-689160381;2;¤;¤;1,0;1,0;1,0;4223652;15038631,18208413;10814979,18208413;125,17337016301076
1-689176751;2;¥¤;;0,0;0,0;0,0;1230322;0,0;1230322,0;14,239837962962962
1-689252781;2;¤;¤;1,0;1,0;1,0;2668898;8749306,465200393;6080408,4652003925;70,3750979768564
1-689469104;2;¥¢¥¢¥¢¥¤;¥¡¥¤;0,375;0,375;0,5;1908071;55268647,663019925;53360576,663019925;617,599266933101
1-689525975;2;¤;¤;1,0;1,0;1,0;2645720;7926054,025567834;5280334,025567834;61,11497714777586
1-690184941;2;¤;¤;1,0;1,0;1,0;454155;8934205,998765606;8480050,998765606;98,14873841163896
1-690190570;2;¤;¤;1,0;1,0;1,0;4057611;11861807,304404678;7804196,304404678;90,32634611579488
1-690327837;2;¥¤;;0,0;0,0;0,0;9;0,0;9,0;0,00010416666666666667
1-690419865;2;¤;¤;1,0;1,0;1,0;1284636;11335352,731010797;10050716,731010797;116,3277399422546
1-690447511;2;§¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,25;4334674;42837690,63838219;38503016,63838219;445,636766647942
1-690762471;2;¢¥¤;¢¥¤;1,0;1,0;1,0;9000;1611369,8427912921;1602369,8427912921;18,545947254528844
1-690931471;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;267337;44943878,98819922;44676541,98819922;517,0896063448984
1-691093464;2;¥¢¥¢¥¤;;0,0;0,0;0,0;2729182;0,0;2729182,0;31,58775462962963
1-691221687;2;¥¢¥¢¥¢¥¤;¤;0,125;0,125;0,33333333333333326;2605113;2028690,8919724936;576422,1080275064;6,671552176244287
1-691767241;2;¤;¥§¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;5906162;18958345,17312235;13052183,17312235;151,06693487410126
1-691786096;2;¥¡¡¤;¥¡¥¤;0,75;0,75;1,0;2353574;43624121,37770681;41270547,37770681;477,6683724271622
1-691786330;2;¥¡¤;¥¡¥¤;0,75;0,75;1,0;2423540;43705989,02062476;41282449,02062476;477,80612292389765
1-692042197;2;¤;¤;1,0;1,0;1,0;7;2420698,854988771;2420691,854988771;28,017266840147812
1-692055495;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;4119072;46294609,66807671;42175537,66807671;488,1427970842212
1-692193396;2;¥¡¥¤;¥¡¥¤;1,0;1,0;1,0;5792943;42512963,157679565;36720020,157679565;425,00023330647645
1-692813576;2;¤;¤;1,0;1,0;1,0;4740688;11128050,561902797;6387362,561902797;73,92780742943052
1-692959195;2;¤;¤;1,0;1,0;1,0;1984683;8990824,60371427;7006141,6037142705;81,0896018948411
1-693456968;2;¢¥¤;¥¡¥¡¥¢¥¡¥¤;0,30000000000000004;0,30000000000000004;0,75;5629228;115373837,21347585;109744609,21347585;1270,1922362670816
1-693595201;2;¥¢¥¤;¥¡¥¤;0,75;0,75;0,5;7345645;54862957,557581455;47517312,557581455;549,9688953423779
1-693732401;2;¥¡¥§¤;¥¡¥¤;0,8;0,8;0,75;5430053;56106323,55386015;50676270,55386015;586,5309091881962
1-693741781;2;¤;¤;1,0;1,0;1,0;74;2223233,114517421;2223159,114517421;25,73100826987756
1-693789171;2;¤¥¤;¤;0,33333333333333337;0,33333333333333337;0,5;164;3126930,5786687173;3126766,5786687173;36,18942799385089
1-693812929;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;1116617;34652770,002119645;33536153,002119645;388,14991900601444
1-693895885;2;¥¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;3583448;21466553,249595314;17883105,249595314;206,9803848332791
1-694222066;2;¥¢¡¡¥¤;¥¡¥¤;0,6666666666666667;0,6666666666666667;0,75;5552874;51428517,66544119;45875643,66544119;530,9680979796434
1-694338411;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;4131495;39862641,889540724;35731146,889540724;413,5549408511658
1-694346343;2;¤;¤;1,0;1,0;1,0;103;2435261,598752201;2435158,598752201;28,1847060040764
1-694354058;2;¢¥¤;¥¡¥¤;0,5;0,5;0,5;1120828;52314596,385068834;51193768,385068834;592,5204674197781
1-694385837;2;¥¤¥¥¤¥¤;;0,0;0,0;0,0;1669527;0,0;1669527,0;19,323229166666668
1-694597155;2;§¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;4720162;1298195,9449360939;3421966,055063906;39,60608860027669
1-694794065;2;¥¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;1224074;18417069,454623997;17192995,454623997;198,993002947037
1-694828073;2;¥¡¡§¡¢¥¡¥¡¢¥¥¤;¥¡¥¡¥¢¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡;0,2777777777777778;0,2777777777777778;0,6;5458593;180158754,46631312;174700161,46631312;2021,9926095638093
1-694899814;2;¤;¤;1,0;1,0;1,0;199;1785508,1138603527;1785309,1138603527;20,663299928939267
1-695258011;2;§¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;6219494;9340199,903691445;3120705,9036914445;36,119281292725056
1-695316021;2;¤;¤;1,0;1,0;1,0;2252371;8305174,191025139;6052803,191025139;70,05559248871688
1-695425289;2;¡¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;418882;8294383,665129252;7875501,665129252;91,15163964269968
1-695486321;2;¥¢¥¤;¥¡¥¤;0,75;0,75;0,5;5168271;45896417,55729662;40728146,55729662;471,39058515389604
1-695748265;2;¤;¤;1,0;1,0;1,0;172701;10612307,987881409;10439606,987881409;120,82878458196075
1-696097603;2;¥¡¢¥¡¥¢¡§¤;¥¡¥¡¥¢¥¡¥¤;0,7;0,7;0,8;3858608;117566878,78156248;113708270,78156248;1316,0679488606768
1-696680265;2;¥¢¥¥§¤;¥¡¥¤;0,5;0,5;0,4;2601486;55313835,99630242;52712349,99630242;610,0966434757224
1-696714411;2;¥¤;¥§¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;3865057;8725600,04397388;4860543,04397388;56,25628523117916
1-696835891;2;¢¥¤;¡¥¤;0,6666666666666667;0,6666666666666667;0,5;5444;42900457,317972995;42895013,317972995;496,47006155061337
1-696839978;2;¤;¤;1,0;1,0;1,0;2373060;7986786,929551577;5613726,929551577;64,97369131425437
1-697041731;2;¤¥¤;¤;0,33333333333333337;0,33333333333333337;0,5;1264059;7609024,291367448;6344965,291367448;73,43709827971583
1-697260307;2;¤;¤;1,0;1,0;1,0;2576980;2463283,788625374;113696,21137462603;1,315928372391505
1-697458590;2;¥¡¢¡¥¥¡§¤;¥¡¥¤;0,4444444444444444;0,4444444444444444;0,6;4658926;53794389,36314507;49135463,36314507;568,6974926289938
1-697459701;2;¢¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;2775;511036,9641302684;508261,9641302684;5,882661621878106
1-697811404;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;1130642;51736070,13782619;50605428,13782619;585,7109738174328
1-697987547;2;¢¥¢¥¥¤;¤;0,16666666666666663;0,16666666666666663;0,33333333333333326;4931304;1433111,7512909775;3498192,2487090225;40,48833621190998
1-698044001;2;¥¡¥¤;¥¡¥¤;1,0;1,0;1,0;2241356;51177170,39880338;48935814,39880338;566,386740726891
1-698216063;2;¥§¥¤;¥¡¥¤;0,75;0,75;0,5;458995;43852293,657500066;43393298,657500066;502,23725298032485
1-698267095;2;¤;¤;1,0;1,0;1,0;103;8792686,47988636;8792583,47988636;101,76601249868473
1-698293715;2;¤;¤;1,0;1,0;1,0;2441330;8729867,22433419;6288537,22433419;72,78399565201609
1-698346154;2;¤;¤;1,0;1,0;1,0;10987;8680652,688960044;8669665,688960044;100,34335288148199
1-698751834;2;¥¤;¤;0,5;0,5;0,5;3435756;8000979,617073513;4565223,617073513;52,838236308721214
1-698754281;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;5140987;49794531,04895874;44653544,04895874;516,823426492578
1-698842669;2;¥¥¤¥¤;¥¡¥¤;0,6;0,6;0,6666666666666666;2686294;40239904,6879988;37553610,6879988;434,648271851838
1-698998499;2;¥¢¥¢¥§¤;¥¡¥¤;0,4285714285714286;0,4285714285714286;0,4;1905190;54038610,01036622;52133420,01036622;603,3960649347941
1-699103215;2;¥¢¥¢¥¡¢¥¢¥¥¤;¥¡¥¤;0,33333333333333337;0,33333333333333337;0,75;1488633;56493217,13962173;55004584,13962173;636,6271312456219
1-699140595;2;¤;¤;1,0;1,0;1,0;259414;8669764,004909914;8410350,004909914;97,3420139457166
1-699397256;2;¤;¤;1,0;1,0;1,0;2637;2019890,8907469532;2017253,8907469532;23,347845957719365
1-699661601;2;¢¥¥¢¥¤;¤;0,16666666666666663;0,16666666666666663;0,33333333333333326;1112570;8734362,867798502;7621792,867798502;88,21519522914933
1-699690829;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;1909859;55523085,13239982;53613226,13239982;620,5234506064794
1-700498223;2;¥¡¢¥¢¡¢¥¡¢¥¥¢¥§¥¤;¥¡¥¤;0,23529411764705888;0,23529411764705888;0,6;3023612;53604927,868012585;50581315,868012585;585,431896620516
1-700566882;2;¥¤¥¤;¥§¤;0,5;0,5;0,6666666666666666;2590976;18796429,12597765;16205453,12597765;187,56311488400058
1-700746442;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;43648;48615080,152001075;48571432,152001075;562,1693536111236
1-700842031;2;¥§¥§¤;¥¡¥¤;0,6;0,6;0,5;5532627;51076040,721162066;45543413,721162066;527,1228439949314
1-701429911;2;¥§¤;¥§¤;1,0;1,0;1,0;1572250;20436116,921430618;18863866,921430618;218,33179307211364
1-702103380;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;8;41615878,51635632;41615870,51635632;481,6651680133833
1-702482271;2;¥¢¥¤;¢¥¡¥¤;0,6;0,6;0,75;2382;37058873,04631677;37056491,04631677;428,89457229533303
1-702501021;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;13799;41191350,787513904;41177551,787513904;476,59203457770724
1-702501138;2;¥¢¥¤;¥¡¥¤;0,75;0,75;0,5;722532;41159545,0302366;40437013,0302366;468,020984146257
1-702501532;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;1995245;41120588,57412042;39125343,57412042;452,83962470046777
1-702514881;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;88;33370921,37753996;33370833,37753996;386,236497425231
1-702673026;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;1995422;43423046,85269473;41427624,85269473;479,4863987580408
1-703016242;2;¤;¤;1,0;1,0;1,0;1821739;9343118,145617077;7521379,145617077;87,05299937056802
1-703190797;2;¢¥¥¢¥¢¥¢¥¤;¡¥¤;0,19999999999999996;0,19999999999999996;0,5;1382956;41709464,31040217;40326508,31040217;466,74199433335843
1-703242211;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;80;43697895,696760915;43697815,696760915;505,7617557495476
1-703383433;2;¤;¤;1,0;1,0;1,0;69;2180729,161358068;2180660,161358068;25,239122237940606
1-703399394;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;82603;54724487,199066065;54641884,199066065;632,4292152669683
1-703445951;2;¤;¤;1,0;1,0;1,0;1545655;9049243,429211745;7503588,429211745;86,84708830106186
1-703540157;2;¢¥¢¥§¢¥¢¥¢¥§¥¢¥¤;¥¡¥¡¥¢¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡;0,2222222222222222;0,2222222222222222;0,4;5088128;183290025,13844612;178201897,13844612;2062,5219576209042
1-703856779;2;§¤;¤;0,5;0,5;0,5;784772;2691040,153914443;1906268,1539144432;22,063288818454204
1-703964203;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;801278;46834690,12700063;46033412,12700063;532,794121840285
1-703964563;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;4577005;46755763,0569884;42178758,0569884;488,18007010403244
1-704229602;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;47;42608050,00462475;42608003,00462475;493,14818292389754
1-704650867;2;¥¢¥§¤;¥¡¥¤;0,6;0,6;0,4;3132809;51085048,26553498;47952239,26553498;555,0027692770252
1-704661542;2;¢¥§¤;¤;0,25;0,25;0,25;1134647;8889426,24880014;7754779,24880014;89,75438945370533
1-704703712;2;¥¥¡¥¤;¥¡¥¡¥¢¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡¥¡;0,11111111111111116;0,11111111111111116;0,5;513522;182051615,88356128;181538093,88356128;2101,135345874552
1-704973871;2;¥¡¥¤;¥¡¥¤;1,0;1,0;1,0;4895838;51953205,72947736;47057367,72947736;544,6454598319139
1-704977245;2;¢¥¢¥¤;¥¡¥¤;0,6;0,6;0,5;2477403;51456926,69046535;48979523,69046535;566,892635306312
1-706226212;2;¤;¤;1,0;1,0;1,0;1161320;14379063,354140338;13217743,354140338;152,98314067292057
1-706959641;2;¤;¤;1,0;1,0;1,0;55;1450161,9453806074;1450106,9453806074;16,783645201164436
1-706963013;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;14820;35702581,64565259;35687761,64565259;413,0527968246828
1-707025161;2;¤;¤;1,0;1,0;1,0;75;1127362,1067807635;1127287,1067807635;13,047304476629208
1-707300171;2;¢¢¥¢¡¢¥¥¥§¤;¢¥¡¥¤;0,4545454545454546;0,4545454545454546;0,8;4291992;36461504,7278788;32169512,7278788;372,332323239338
1-707623601;2;¤;¤;1,0;1,0;1,0;4556;9014595,563927198;9010039,563927198;104,28286532323146
1-707660543;2;¥¡¢¥¤;¥¡¥¤;0,8;0,8;0,75;3216017;55036245,53363939;51820228,53363939;599,7711635837892
1-708121948;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;2299858;55575702,90300483;53275844,90300483;616,6185752662597
1-708131711;2;¡¢¥¡¤;¥¡¥¤;0,4;0,4;0,75;3075857;55492316,323998824;52416459,323998824;606,6719829166531
1-708613661;2;¡¥¤;¥§¤;0,33333333333333337;0,33333333333333337;0,5;3037443;20335299,17199883;17297856,17199883;200,20666865739386
1-709552565;2;¥¡¢¥¤;¥¡¥¤;0,8;0,8;0,75;1199758;49995030,61258235;48795272,61258235;564,7600996826661
1-709663551;2;¥¥¢¡¥¤;¤;0,16666666666666663;0,16666666666666663;0,25;3218;1762836,2795795572;1759618,2795795572;20,36595230994858
1-709802751;2;¤;¡¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;49;38672875,36810716;38672826,36810716;447,60215703827737
1-709802861;2;¥¥¤;¥¡¥¤;0,75;0,75;0,6666666666666666;2403798;50633975,258947656;48230177,258947656;558,219644200783
1-710114300;2;¥¡¢¥¢¥¢¥¤;¥¡¥¤;0,4444444444444444;0,4444444444444444;0,75;3278535;44182584,95710612;40904049,95710612;473,42650413317267
1-712856449;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;616796;55336547,55396126;54719751,55396126;633,3304578004776
1-713106267;2;¤;¤;1,0;1,0;1,0;812;2583227,8998067146;2582415,8998067146;29,88907291442957
1-715638561;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;3437;55990411,71830625;55986974,71830625;647,997392572989
1-715660478;2;¥¤;;0,0;0,0;0,0;1124384;0,0;1124384,0;13,013703703703703
1-715860062;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;749308;55627312,28262153;54878004,28262153;635,1620866044159
1-716154984;2;¤;¢¥¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;1124837;1567971,607497943;443134,6074979431;5,128872771966934
1-716571976;2;¥¢¥¤;;0,0;0,0;0,0;312790;0,0;312790,0;3,62025462962963
1-717122893;2;¥§¤;¥¡¥¤;0,5;0,5;0,5;3538930;50796250,41156477;47257320,41156477;546,9597269857034
1-717222893;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;88418;50922996,02395128;50834578,02395128;588,3631715735102
1-717275094;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;86268;51176157,652046986;51089889,652046986;591,3181672690623
1-717713590;2;¤;¤;1,0;1,0;1,0;10;1929907,5929850766;1929897,5929850766;22,336777696586534
1-718031374;2;¤;¤;1,0;1,0;1,0;14;2262085,829734335;2262071,829734335;26,181386918221474
1-718056641;2;¤;¥¥¤;0,33333333333333337;0,33333333333333337;0,5;2422270;11744580,701723542;9322310,701723542;107,89711460328174
1-718960811;2;¤;¤;1,0;1,0;1,0;1831357;9236889,427932667;7405532,427932667;85,7121808788503
1-718973785;2;¥§¤;¥¡¥¤;0,5;0,5;0,5;2791080;55751580,720613606;52960500,720613606;612,9687583404352
1-719199254;2;¤¥¤¥¤¥¤;¤;0,1428571428571429;0,1428571428571429;0,5;2323701;1149510,5127040604;1174190,4872959396;13,590167677036337
